Date,Close
6/7/2018 16:00:00,56.19
6/8/2018 16:00:00,56.04
6/11/2018 16:00:00,56.5
6/12/2018 16:00:00,56.97
6/13/2018 16:00:00,56.74
6/14/2018 16:00:00,57.61
6/15/2018 16:00:00,57.61
6/18/2018 16:00:00,58.67
6/19/2018 16:00:00,58.4
6/20/2018 16:00:00,58.49
6/21/2018 16:00:00,57.88
6/22/2018 16:00:00,57.77
6/25/2018 16:00:00,56.24
6/26/2018 16:00:00,55.92
6/27/2018 16:00:00,55.2
6/28/2018 16:00:00,55.71
6/29/2018 16:00:00,55.78
7/2/2018 16:00:00,56.37
7/3/2018 13:00:00,55.14
7/5/2018 16:00:00,56.21
7/6/2018 16:00:00,57.01
7/9/2018 16:00:00,57.7
7/10/2018 16:00:00,57.64
7/11/2018 16:00:00,57.7
7/12/2018 16:00:00,59.17
7/13/2018 16:00:00,59.44
7/16/2018 16:00:00,59.19
7/17/2018 16:00:00,59.94
7/18/2018 16:00:00,59.79
7/19/2018 16:00:00,59.35
7/20/2018 16:00:00,59.25
7/23/2018 16:00:00,60.28
7/24/2018 16:00:00,62.4
7/25/2018 16:00:00,63.19
7/26/2018 16:00:00,63.42
7/27/2018 16:00:00,61.93
7/30/2018 16:00:00,60.99
7/31/2018 16:00:00,60.86
8/1/2018 16:00:00,61
8/2/2018 16:00:00,61.31
8/3/2018 16:00:00,61.19
8/6/2018 16:00:00,61.24
8/7/2018 16:00:00,62.11
8/8/2018 16:00:00,62.28
8/9/2018 16:00:00,62.46
8/10/2018 16:00:00,61.88
8/13/2018 16:00:00,61.75
8/14/2018 16:00:00,62.11
8/15/2018 16:00:00,60.72
8/16/2018 16:00:00,60.32
8/17/2018 16:00:00,60.05
8/20/2018 16:00:00,60.39
8/21/2018 16:00:00,60.08
8/22/2018 16:00:00,60.37
8/23/2018 16:00:00,60.27
8/24/2018 16:00:00,61.03
8/27/2018 16:00:00,62.09
8/28/2018 16:00:00,61.56
8/29/2018 16:00:00,62.47
8/30/2018 16:00:00,61.96
8/31/2018 16:00:00,60.91
9/4/2018 16:00:00,59.85
9/5/2018 16:00:00,59.32
9/6/2018 16:00:00,58.57
9/7/2018 16:00:00,58.24
9/10/2018 16:00:00,58.23
9/11/2018 16:00:00,58.87
9/12/2018 16:00:00,58.14
9/13/2018 16:00:00,58.77
9/14/2018 16:00:00,58.63
9/17/2018 16:00:00,57.8
9/18/2018 16:00:00,58.06
9/19/2018 16:00:00,58.55
9/20/2018 16:00:00,59.34
9/21/2018 16:00:00,58.3
9/24/2018 16:00:00,58.67
9/25/2018 16:00:00,59.23
9/26/2018 16:00:00,59.02
9/27/2018 16:00:00,59.73
9/28/2018 16:00:00,59.67
10/1/2018 16:00:00,59.77
10/2/2018 16:00:00,60.01
10/3/2018 16:00:00,60.15
10/4/2018 16:00:00,58.41
10/5/2018 16:00:00,57.87
10/8/2018 16:00:00,57.45
10/9/2018 16:00:00,56.94
10/10/2018 16:00:00,54.06
10/11/2018 16:00:00,53.97
10/12/2018 16:00:00,55.5
10/15/2018 16:00:00,54.61
10/16/2018 16:00:00,56.06
10/17/2018 16:00:00,55.78
10/18/2018 16:00:00,54.4
10/19/2018 16:00:00,54.82
10/22/2018 16:00:00,55.06
10/23/2018 16:00:00,55.18
10/24/2018 16:00:00,52.54
10/25/2018 16:00:00,54.78
10/26/2018 16:00:00,53.57
10/29/2018 16:00:00,51
10/30/2018 16:00:00,51.81
10/31/2018 16:00:00,53.84
11/1/2018 16:00:00,53.5
11/2/2018 16:00:00,52.89
11/5/2018 16:00:00,52
11/6/2018 16:00:00,52.79
11/7/2018 16:00:00,54.67
11/8/2018 16:00:00,54.12
11/9/2018 16:00:00,53.31
11/12/2018 16:00:00,51.93
11/13/2018 16:00:00,51.8
11/14/2018 16:00:00,52.18
11/15/2018 16:00:00,53.24
11/16/2018 16:00:00,53.07
11/19/2018 16:00:00,51
11/20/2018 16:00:00,51.29
11/21/2018 16:00:00,51.88
11/23/2018 13:00:00,51.19
11/26/2018 16:00:00,52.43
11/27/2018 16:00:00,52.22
11/28/2018 16:00:00,54.31
11/29/2018 16:00:00,54.42
11/30/2018 16:00:00,54.72
12/3/2018 16:00:00,55.32
12/4/2018 16:00:00,52.54
12/6/2018 16:00:00,53.44
12/7/2018 16:00:00,51.83
12/10/2018 16:00:00,51.98
12/11/2018 16:00:00,52.59
12/12/2018 16:00:00,53.18
12/13/2018 16:00:00,53.1
12/14/2018 16:00:00,52.11
12/17/2018 16:00:00,50.83
12/18/2018 16:00:00,51.44
12/19/2018 16:00:00,51.15
12/20/2018 16:00:00,50.47
12/21/2018 16:00:00,48.98
12/24/2018 13:00:00,48.81
12/26/2018 16:00:00,51.97
12/27/2018 16:00:00,52.19
12/28/2018 16:00:00,51.85
12/31/2018 16:00:00,51.78
1/2/2019 16:00:00,52.29
1/3/2019 16:00:00,50.8
1/4/2019 16:00:00,53.54
1/7/2019 16:00:00,53.42
1/8/2019 16:00:00,53.81
1/9/2019 16:00:00,53.73
1/10/2019 16:00:00,53.52
1/11/2019 16:00:00,52.86
1/14/2019 16:00:00,52.23
1/15/2019 16:00:00,53.86
1/16/2019 16:00:00,54.05
1/17/2019 16:00:00,54.5
1/18/2019 16:00:00,54.91
1/22/2019 16:00:00,53.53
1/23/2019 16:00:00,53.78
1/24/2019 16:00:00,53.7
1/25/2019 16:00:00,54.55
1/28/2019 16:00:00,53.5
1/29/2019 16:00:00,53.03
1/30/2019 16:00:00,54.45
1/31/2019 16:00:00,55.82
2/1/2019 16:00:00,55.54
2/4/2019 16:00:00,56.64
2/5/2019 16:00:00,57.3
2/6/2019 16:00:00,55.76
2/7/2019 16:00:00,54.94
2/8/2019 16:00:00,54.75
2/11/2019 16:00:00,54.75
2/12/2019 16:00:00,56.07
2/13/2019 16:00:00,56.01
2/14/2019 16:00:00,56.08
2/15/2019 16:00:00,55.68
2/19/2019 16:00:00,55.93
2/20/2019 16:00:00,55.69
2/21/2019 16:00:00,54.85
2/22/2019 16:00:00,55.52
2/25/2019 16:00:00,55.47
2/26/2019 16:00:00,55.76
2/27/2019 16:00:00,55.8
2/28/2019 16:00:00,56
3/1/2019 16:00:00,57.05
3/4/2019 16:00:00,57.39
3/5/2019 16:00:00,58.1
3/6/2019 16:00:00,57.89
3/7/2019 16:00:00,57.17
3/8/2019 16:00:00,57.12
3/11/2019 16:00:00,58.79
3/12/2019 16:00:00,59.66
3/13/2019 16:00:00,59.67
3/14/2019 16:00:00,59.28
3/15/2019 16:00:00,59.22
3/18/2019 16:00:00,59.21
3/19/2019 16:00:00,59.94
3/20/2019 16:00:00,61.2
3/21/2019 16:00:00,61.58
3/22/2019 16:00:00,60.28
3/25/2019 16:00:00,59.65
3/26/2019 16:00:00,59.23
3/27/2019 16:00:00,58.65
3/28/2019 16:00:00,58.42
3/29/2019 16:00:00,58.67
4/1/2019 16:00:00,59.72
4/2/2019 16:00:00,60.02
4/3/2019 16:00:00,60.3
4/4/2019 16:00:00,60.75
4/5/2019 16:00:00,60.36
4/8/2019 16:00:00,60.19
4/9/2019 16:00:00,59.86
4/10/2019 16:00:00,60.11
4/11/2019 16:00:00,60.23
4/12/2019 16:00:00,60.89
4/15/2019 16:00:00,61.06
4/16/2019 16:00:00,61.36
4/17/2019 16:00:00,61.82
4/18/2019 16:00:00,61.82
4/22/2019 16:00:00,62.44
